row_id,paper_id,page_num,chemical_composition,alloy_composition,density,tensile_strength,elongation,thermal_conductivity,thermal_expansion,manufacturing_process,source_label,source_snippet,extracted_from
1,1-s2.0-S0921509321007802-main,0,Cu-4at% Cr-2at% Nb,GRCop-42,,UTS = 350-700 MPa @ ambient temperature,,70–85% of pure copper thermal conductivity,,Laser Powder Bed Fusion (L-PBF),Text,"This study quantifies size effects on microstructure and mechanical properties of Laser Powder Bed Fusion (L-PBF) Copper–Chromium–Niobium Alloys, specifically GRCop-42 (Copper-4at% Chromium-2at% Niobium Alloy).
The GRC alloy family, developed by NASA Glenn Research Center, offers improved mechanical strength (ambient temperature ultimate tensile strength between 350 and 700 MPa, compared to 300 MPa for pure copper) while maintaining 70–85% the thermal conductivity of pure copper [2–6].
Pure copper has thermal conductivity in the range of 400W/mK",text
2,1-s2.0-S0921509321007802-main,1,,316L stainless steel,,,,,,L-PBF,Text,"Roach et al. [19] showed a 50% drop in modulus of elasticity, yield strength, and ultimate tensile strength in L-PBF 316L stainless steel parts as thickness decreased from 6.5 to 0.4 mm.",text
3,1-s2.0-S0921509321007802-main,2,,GRCop-42,,,,,,"Stress relief (SR) by heating to 425 ◦C ±25 ◦C for 2 h, ±15 min in a vacuum atmosphere, followed by air cooling.",Text,"The stress relief is performed by heating the samples to 425 ◦C ±25 ◦C for 2 h, ±15 min in a vacuum atmosphere, followed by air cooling.",text
4,1-s2.0-S0921509321007802-main,2,,GRCop-84,,,,,,,Text,the Aerospace Structural Materials Handbook reports the solidus temperature of GRCop-84 to be about 1080 ◦C ±10 ◦C [4].,text
5,20250513--GRX-810_Addtional_NASA_Data,1,"Al 0.3%, C 0.055%, Cr 30%, Co 32%, Nb 0.8%, Ni Balance, Re 1.5%, Ti 0.3%, W 3.0%",,,,,,,"HIP – ASTM 3301 (Temperature: 1163°C, Time: 3-4 hours, Stress: 103 MPa); L-PBF (Laser Power: 275 W, Scan Speed: 1000 mm/s, Layer Thickness: 0.04 mm)","Table 1, Table 2, Table 3","Table 1: Nominal composition for base powder GRX-810.
Element Nominal
Al 0.3%
C 0.055%
Cr 30%
Co 32%
Nb 0.8%
Ni Balance
Re 1.5%
Ti 0.3%
W 3.0%
Table 2: Heat treatment used performed on GRX-810 samples used for material test data.
Heat Treatment Temperature Time Stress
HIP – ASTM 3301 1163°C 3-4 hours 103 MPa
Table 3: L-PBF core process parameters for GRX-810.
Laser Power (W) Scan Speed (mm/s) Layer Thickness (mm)
275 1000 0.04",table
6,20250513--GRX-810_Addtional_NASA_Data,2,,,8.44 g/cm3 @ Room Temperature,,,11.0 W/m*K @ Room Temperature,10.6×10^-6/K @ Room Temperature,HIP,Table 4,"Table 4: Room Temperature Properties for HIP GRX-810
Density (g/cm3) 8.44
Coefficient of Thermal Expansion (10-6/K) 10.6
Thermal Conductivity (W/m*K) 11.0",table
7,20250513--GRX-810_Addtional_NASA_Data,2,,,8.44 g/cm3 @ Room Temperature,,,10.55 W/m*K @ Room Temperature,11.8×10^-6/K @ Room Temperature,As-built,Table 5,"Table 5: Room Temperature Properties for As-built GRX-810
Density (g/cm3) 8.44
Coefficient of Thermal Expansion (10-6/K) 11.8
Thermal Conductivity (W/m*K) 10.55",table
8,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,10.7 W/m/K @ 25 C,,As-built,Table 6,25 0.420 0.0295 10.7,table
9,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,12.0 W/m/K @ 100 C,,As-built,Table 6,100 0.428 0.0322 12.0,table
10,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,13.9 W/m/K @ 200 C,,As-built,Table 6,200 0.444 0.0357 13.9,table
11,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,15.6 W/m/K @ 300 C,,As-built,Table 6,300 0.454 0.0388 15.6,table
12,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,17.3 W/m/K @ 400 C,,As-built,Table 6,400 0.467 0.0417 17.3,table
13,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,18.6 W/m/K @ 500 C,,As-built,Table 6,500 0.471 0.0443 18.6,table
14,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,18.8 W/m/K @ 600 C,,As-built,Table 6,600 0.440 0.0467 18.8,table
15,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,24.1 W/m/K @ 700 C,,As-built,Table 6,700 0.559 0.0487 24.1,table
16,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,25.3 W/m/K @ 800 C,,As-built,Table 6,800 0.570 0.0505 25.3,table
17,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,26.7 W/m/K @ 900 C,,As-built,Table 6,900 0.587 0.0520 26.7,table
18,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,30.0 W/m/K @ 1000 C,,As-built,Table 6,1000 0.650 0.0532 30.0,table
19,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,32.6 W/m/K @ 1100 C,,As-built,Table 6,1100 0.694 0.0541 32.6,table
20,20250513--GRX-810_Addtional_NASA_Data,4,,,,,,28.7 W/m/K @ 1200 C,,As-built,Table 6,1200 0.635 0.0547 28.7,table
21,6.2017-4670,1,Cu-8 at.% Cr-4 at.% Nb,NASA GRC Copper-alloy,,,,,,,Text (Definitions),GRCop-84 = NASA GRC Copper-alloy (Cu-8 at.% Cr-4 at.% Nb),text
22,6.2017-4670,2,Cu-3 wt.% Ag-0.5 wt.% Zr,NARloy-Z,,,,,,,Text,A variety of copper-based alloys such as NARloy-Z (Cu-3 wt.% Ag-0.5 wt.% Zr) and C-18150 have been used for combustion chambers in prior and current programs5.,text
23,6.2017-4670,3,Cr2Nb 14 vol.%,GRCop-84,,,,,,SLM,Text,"Most likely, the 14 vol.% Cr Nb phase is partially responsible for a higher absorption of laser energy than pure copper and results in easier heating initially.",text
24,6.2017-4670,4,,,,,,,,Normal annealing temperature = 600 °C (1112 °F),Text,The HIPing temperature was well above the normal 600 °C (1112 °F) annealing temperature of GRCop-84.,text
25,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,1,Cu–8Cr–4Nb (at%),GRCop-84,,,,,,,Text,"emphasis on Cu–8Cr–4Nb(at%),or GRCop-84, and Cu–4Cr–2Nb, or GRCop-42.",text
26,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,1,Cu–4Cr–2Nb (at%),GRCop-42,,,,,,,Text,"emphasis on Cu–8Cr–4Nb(at%),or GRCop-84, and Cu–4Cr–2Nb, or GRCop-42.",text
27,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,2,Cu-3.5Ag (wt-%),NARloy-A,,,,,,cast,Text,"Rocketdyne developed a copper alloy based on their previous work with NARloy-A, a cast Cu-3.5Ag (wt-%) alloy,",text
28,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,2,Cu–3Ag–0.5 Zr (wt-%),NARloy-Z,,,,,,"vacuum melting, vacuum centrifugally casting, hot spun forging, machining",Text,"Rocketdyne developed a copper alloy based on their previous work with NARloy-A, a cast Cu-3.5Ag (wt-%) alloy, by adding Zr to a ratio of Cu–3Ag–0.5 Zr (wt-%) and vacuum melting and vacuum centrifugally casting [16]. Cu–3Ag–0.5Zr was trademarked NARloy-Z and formed into combustion chamber liners by a combination of hot spun forging and machining by Rocketdyne [16].",text
29,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,4,"Ag 3.0 wt% [1.79 at%], Cu 96.5 wt% [97.86 at%], Zr 0.5 wt% [0.35 at%]",,,,,,,,Table 1,NARloy-Z 3.0[1.79] – – 96.5[97.86] – – 0.5[0.35],table
30,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,4,"Cu 99.85 wt% [99.9 at%], Zr 0.15 wt% [0.10 at%]",,,,,,,,Table 1,AMZIRC C15000 – – – 99.85[99.9] – – 0.15[0.10],table
31,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,4,"Al 0.15 wt% [0.08 at%], Cu 99.68 wt% [99.8 at%], O 0.17 wt% [0.12 at%]",,,,,,,,Table 1,GlidCopAL-15 C15715 – 0.15[0.08] – 99.68[99.8] – 0.17[0.12] –,table
32,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,4,"Cr 6.2–6.8 wt% [7.6–8.3 at%], Cu 88.4–87.2 wt% [87.3–88.69 at%], Nb 5.4–6 wt% [3.7–4.1 at%]",,,,,,,,Table 1,GRCop-84* – – 6.2–6.8[7.6–8.3] 88.4–87.2[87.3–88.69] 5.4–6[3.7–4.1] – –,table
33,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,4,"Cr 3.1–3.4 wt% [3.8–4.2 at%], Cu 94.2–93.6 wt% [94.4–93.8 at%], Nb 2.7–3 wt% [1.8–2.1 at%]",,,,,,,,Table 1,GRCop-42* – – 3.1–3.4[3.8–4.2] 94.2–93.6[94.4–93.8] 2.7–3[1.8–2.1] – –,table
34,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,4,"Cr 0.6–0.9 wt% [0.73–1.10 at%], Cu Balance, Zr 0.07–0.15 wt% [0.05–0.10 at%]",,,,,,,,Table 1,CuCrZr-IG+ – – 0.6–0.9[0.73–1.10] Balance – – 0.07–0.15[0.05–0.10],table
35,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,5,Cu–Ag–Zr,,,,,,,Ag precipitates coarsen and degrade strength above 866K,Table 2,above866KAg precipitatescoarseninthematrixbecomingincoherentanddegradingmaterial strength,table
36,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,5,Cu–Zr,,,,,,,Approximately 80% of strengthening from CW; aging has limited effect; strength retained up to 773K; intermetallics form as relatively large μm-sized precipitates,Table 2,"Approximately80%ofstrengtheningfromCWratherthanparticlestrengthening; aginghaslimitedeffect;strengthretainedupto773K;Zrprovidesbenefits similar to NARloy-Z,andintermetallicsformasrelativelylargeμm-sized precipitates",table
37,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,5,Cu–Al2O3,,,,,,,"Finely dispersed, nanometer oxide particles; CW can be used to enhance mechanical performance",Table 2,"Finelydispersed,nanometeroxideparticlesinsidegrainsoratgrainboundaries providemostofGlidCop’sstrengthening,thoughCWcanbeusedtoenhance mechanicalperformance",table
38,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,6,,Ag,,,,425 W/m·K @ 0–100 °C,,,Table 3,Ag 1234 8.04[4.9][2] 425 1.65 FCC,table
39,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,6,,Cr,,,,91.3 W/m·K @ 0–100 °C,,,Table 3,Cr 2180 0.73[0.89][3] 91.3 1.66 BCC,table
40,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,6,,Cu,,,,397 W/m·K @ 0–100 °C,,,Table 3,Cu 1358 – 397 1.45 FCC,table
41,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,6,,Nb,,,,54.1 W/m·K @ 0–100 °C,,,Table 3,Nb 2750 1.31[0.9][4] 54.1 1.98 BCC,table
42,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,6,,Zr,,,,22.6 W/m·K @ 0–100 °C,,,Table 3,Zr 2128 0.17[0.12][5] 22.6 HCP,table
43,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,6,,Cu,,YS = 27.6 MPa (grain size 1 cm) @ room temperature; YS = 31.1 MPa (grain size 1 mm) @ room temperature; YS = 186 MPa (grain size 1 μm) @ room temperature; YS = 532 MPa (grain size 100 nm) @ room temperature,,,,,Text,"Using these constants, the strength for Cu with an average grain size of 1cm, 1mm, 1 μm, and 100nm is approximately 27.6, 31.1, 186, and 532MPa, respectively.",text
44,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,10,,Cu,,,,,17×10^-6 /K @ room temperature,,Text,"copper’s high thermal expansion coefficient, 17×10 −6 C −1 at room temperature",text
45,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,10,,Al2O3,3.97 g/cm^3,,,,7.6×10^-6 /K @ 773K,,Table 4,AlO [1] −1667 2323 380 3.97 7.6[773K],table
46,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,10,,SiC,3.18 g/cm^3,,,,4.3×10^-6 /K @ 293K,,Table 4,SiC[1] −67 2700 207 3.18 4.3[293K],table
47,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,10,,Cr2Nb (C15),7.71 g/cm^3,,,,6.4×10^-6 /K @ 293K,,Table 4,CrNb(C15) −21[2]* 1858** 205[3] 7.71 6.4*[293K][3]*,table
48,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,10,,Cu,8.96 g/cm^3,,,,17×10^-6 /K @ 293K,,Table 4,Cu 0 1358 110[4] 8.96 17[293K],table
49,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,11,Cr2Nb solubility < 1 wt-%,Cu-Cr-Nb alloy,,,,,,,Text,The maximum solid solubility of Cr2Nb is less than 1wt-% at the solidus (or on final solidification),text
50,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,12,Cr2Nb,,,,,,,,Text,"Cr2Nb solidifies first as the hexagonal C14 Laves phase or MgZn structure type and transforms to the cubic C15 Laves phase or Mg Cu between 1893 and 1923K [64,65].",text
51,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,13,Cr2Nb,,,,,,,,Text,These Cr2Nb melts congruently at 2006K,text
52,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,14,,2:1 Cr:Nb atomic ratio balanced by Cu,,,,,,"Master alloys produced by induction melting and casting, then re-melted and solidified into ribbons and flakes by CBMS under Ar atmosphere; some ribbons consolidated by vacuum hot pressing at 124.2MPa and 923K for 1 hr",Text,"Ellis and Michal tested a range of stoichiometric Cr2Nb or 2:1, Cr:Nb atomic ratios balanced by Cu including 2:1, 4:2, 6:3, 8:4, and 10:5 [9]... Master alloys in these ratios were first produced by induction melting and casting, then re-melted and solidified into ribbons and flakes by CBMS under an Ar atmosphere with a chilled Cu wheel [9,71,72]... Some of the ribbons were consolidated for by vacuum hot pressing at 124.2MPa and 923K for 1 hr [72].",text
53,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,14,,4:2 Cr:Nb atomic ratio balanced by Cu,,,,,,"Master alloys produced by induction melting and casting, then re-melted and solidified into ribbons and flakes by CBMS under Ar atmosphere; some ribbons consolidated by vacuum hot pressing at 124.2MPa and 923K for 1 hr",Text,"Ellis and Michal tested a range of stoichiometric Cr2Nb or 2:1, Cr:Nb atomic ratios balanced by Cu including 2:1, 4:2, 6:3, 8:4, and 10:5 [9]... Master alloys in these ratios were first produced by induction melting and casting, then re-melted and solidified into ribbons and flakes by CBMS under an Ar atmosphere with a chilled Cu wheel [9,71,72]... Some of the ribbons were consolidated for by vacuum hot pressing at 124.2MPa and 923K for 1 hr [72].",text
54,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,14,,6:3 Cr:Nb atomic ratio balanced by Cu,,,,,,"Master alloys produced by induction melting and casting, then re-melted and solidified into ribbons and flakes by CBMS under Ar atmosphere; some ribbons consolidated by vacuum hot pressing at 124.2MPa and 923K for 1 hr",Text,"Ellis and Michal tested a range of stoichiometric Cr2Nb or 2:1, Cr:Nb atomic ratios balanced by Cu including 2:1, 4:2, 6:3, 8:4, and 10:5 [9]... Master alloys in these ratios were first produced by induction melting and casting, then re-melted and solidified into ribbons and flakes by CBMS under an Ar atmosphere with a chilled Cu wheel [9,71,72]... Some of the ribbons were consolidated for by vacuum hot pressing at 124.2MPa and 923K for 1 hr [72].",text
55,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,14,,8:4 Cr:Nb atomic ratio balanced by Cu,,,,,,"Master alloys produced by induction melting and casting, then re-melted and solidified into ribbons and flakes by CBMS under Ar atmosphere; some ribbons consolidated by vacuum hot pressing at 124.2MPa and 923K for 1 hr",Text,"Ellis and Michal tested a range of stoichiometric Cr2Nb or 2:1, Cr:Nb atomic ratios balanced by Cu including 2:1, 4:2, 6:3, 8:4, and 10:5 [9]... Master alloys in these ratios were first produced by induction melting and casting, then re-melted and solidified into ribbons and flakes by CBMS under an Ar atmosphere with a chilled Cu wheel [9,71,72]... Some of the ribbons were consolidated for by vacuum hot pressing at 124.2MPa and 923K for 1 hr [72].",text
56,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,14,,10:5 Cr:Nb atomic ratio balanced by Cu,,,,,,"Master alloys produced by induction melting and casting, then re-melted and solidified into ribbons and flakes by CBMS under Ar atmosphere; some ribbons consolidated by vacuum hot pressing at 124.2MPa and 923K for 1 hr",Text,"Ellis and Michal tested a range of stoichiometric Cr2Nb or 2:1, Cr:Nb atomic ratios balanced by Cu including 2:1, 4:2, 6:3, 8:4, and 10:5 [9]... Master alloys in these ratios were first produced by induction melting and casting, then re-melted and solidified into ribbons and flakes by CBMS under an Ar atmosphere with a chilled Cu wheel [9,71,72]... Some of the ribbons were consolidated for by vacuum hot pressing at 124.2MPa and 923K for 1 hr [72].",text
57,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,14,,GRCop-84 (8:4 Cr:Nb ratio balanced by Cu),,,,,,"alloyed by gas atomisation, hot-extruded into cylindrical bars at 1130K, and tested in the as-extruded condition with no additional heat treatments",Text,"Following their preliminary work, Ellis and Michal performed extensive testing on the 8:4 and 4:2 Cr:Nb ratio alloys and directly compared NARloy-Z fabricated and tested under the same conditions in 1996 [26]. Instead of alloying with CBMS, both GRCop alloys were first alloyed by gas atomisation, hot-extruded into cylindrical bars at 1130K, and tested in the as-extruded condition with no additional heat treatments [26].",text
58,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,14,,GRCop-42 (4:2 Cr:Nb ratio balanced by Cu),,,,,,"alloyed by gas atomisation, hot-extruded into cylindrical bars at 1130K, and tested in the as-extruded condition with no additional heat treatments",Text,"Following their preliminary work, Ellis and Michal performed extensive testing on the 8:4 and 4:2 Cr:Nb ratio alloys and directly compared NARloy-Z fabricated and tested under the same conditions in 1996 [26]. Instead of alloying with CBMS, both GRCop alloys were first alloyed by gas atomisation, hot-extruded into cylindrical bars at 1130K, and tested in the as-extruded condition with no additional heat treatments [26].",text
59,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,15,Cr/Nb ratio 2.02 to 2.05,GRCop alloys,,,,,,,Text referring to Table 2,"Additionally, a slight off-stoichiometric excess of Cr is added to suppress Nb precipitate formation and H embrittlement concerns ranging from 2.02 to 2.05 Cr/Nb based on powder compositions presented in Table 2.",text
60,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,15,,GRCop alloys,,,,,,Standard gas atomisation with inert gas: cooling rate of 10^2–10^3 K s^-1,Text,Standard gas atomisation with inert gas has a lower cooling rate of 102–103 K s −1 compared to CBMS,text
61,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,16,,GRCop-84,,,,,,"extruded, followed by 1273K exposure for 30min",Figure 8 caption,(d) Extruded microstructure after 1273K exposure for 30min demonstrating more visible grain and particle boundaries[1],text
62,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,17,,GRCop-84,,,,,,Recovery and recrystallisation occurs between 473 and 873 K depending on the degree of cold work.,Text [86],recovery and recrystallisation occurs between 473 and 873K depending on the degree of cold work,text
63,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,17,,GRCop-84,,,,,,"L-PBF default parameters: core laser power of 180 W, core scan speed of 800 mm/s, hatch width of 0.105 mm, build layer thickness of 0.03 mm, and core energy density of 95.2 J/mm³.",Text [90],"The default parameters for GRCop-84 include a core laser power of 180 W, core scan speed of 800 mm s −1, hatch width of 0.105 mm, build layer thickness of 0.03 mm, and core energy density of 95.2 J mm −3.",text
64,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,17,,GRCop-42,,,,,,"L-PBF coolest, fastest parameters: laser power of 270 W, scan speed of 1,025 m/s, hatch width of 0.099 mm, build layer thickness of 0.045 mm, and energy density of 59.1 J/mm³.",Text [90],"The coolest, fastest parameters in this memorandum for GRCop-42 are 270 W, 1,025 m s −1, 0.099, 0.045 mm, and 59.1 J mm −3 in the same order as the parameters for GRCop-84 [90].",text
65,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,18,,,,,,,,"extruded, then aged at 1323K for 100h",Text,"Even after an aging of 1323K for 100h, the mean primary precipitate diameter only increased from 0.93±0.04 to 1.35±0.03 μm, where the±represents standard error [92].",text
66,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,19,,GRCop-84,,,,∼76% of OFHC's room temperature thermal conductivity (∼400 W mK^-1) @ room temperature,,"extruded, <20ppm Fe",Text,"At room temperature, extruded, <20ppm Fe, GRCop-84’s thermal conductivity is ∼76%, based on Figure 9, of OFHC’s room temperature thermal con- ductivity, ∼400 W mK −1 [78]",text
67,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,19,,GRCop-42,,,,∼86.5% OFHC Cu @ room temperature,,Extruded,Text,"Extruded GRCop-42’s lower alloying content provides signifi- cantlyfewer scatteringsites,whichresultsinathermal conductivity ∼86.5% OFHC Cu at room temperature",text
68,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,19,,GRCop-84,,,,∼79.5% OFHC Cu @ ∼535K,,"Extruded, <20ppm Fe",Text,"Extruded <20ppm Fe GRCop-84’s thermal conduc- tivity,showninFigure9,demonstratessometempera- ture dependence. The thermal conductivity first increases to a maximum value of ∼79.5% OFHC Cu at ∼535K",text
69,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,19,,GRCop-84,,,,,,as-extruded,Text,"When the yield point is reached, as-extruded GRCop-84 rapidly reaches a stress near its UTS and remains near that stress for 10–20% elongation followed by 5–15% elongation during necking before failure [86].",text
